GENERO ,MARCA,CATEGORIA,CODIGO NUMERICO,NOMBRE,COLOR,TALLES,,,,,,,,,,,,,TOTAL,WEB,FOTO,$COSTO,$PUBLICO,$PAGINA ,%INFLACION 
MUJER,CAVATINI,ZAP CAM AIRE TEXTIL,39-2582,COTTON,TEXTIL NEGRO,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAP CAM AIRE TEXTIL,39-2582,COTTON,MALVA,,,1,2,2,2,1,,,,,,,8,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1327,HELMI II,SABLE,,,,,,,1,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1302,HENNA II,PERLA,,,,,,2,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1304,HITCH,SABLE,,,,,,2,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1319,HEDEN II,PERLA,,,,,,1,,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1319,HEDEN II,SABLE,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1306,ERIN II,PERLA,,,,,,1,,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,40-1388,FLOR GRANEADO,NEGRO,,,,1,1,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,50-1465,SIN NOMBRE,ANTILOPE,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,50-1465,SASU,SABLE,,,1,1,,1,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,40-1524,SIN NOMBRE,CORAL,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1308,HAFIR II,OROCLARO,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1313,NIZA,LATTE,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPTILLA CUERO ,39-1311,NAYU,LATTE,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,ZAPATILLA LONA TEXTIL,39-1317,HAFIR ,PERLA,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SUECO CERRADOS,50-1652,SIN NOMBRE,VISON,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SUECO CERRADOS,50-1684,SIN NOMBRE,ROJO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1252,LINA,LATTE,,,,2,1,1,1,1,,,,,,6,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1252,LINA,NUDE,,,,,,,,1,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1252,LINA ,PERLA,,,1,,1,,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1252,LINA,NEGRO,,,1,1,2,2,1,1,,,,,,8,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-2013,SIN NOMBRE,MAIZ,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2342,SIN NOMBRE,NEGRO,,,,1,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1835,SIN NOMBRE,CORAL,,,1,1,1,,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2523,NISA,PERLA,,,,1,,1,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2518,SIN NOMBRE,MARFIL,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1831,SIN NOMBRE,PERLA,,,,1,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-3184,ZANDY,NUDE,,,,1,1,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2679,SIN NOMBRE,CAMEL,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1234,SIN NOMBRE,ROJO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1567,ARETA,SABLE,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2668,SIN NOMBRE,NEGRO,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,48-2271,SIN NOMBRE,NATURAL,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1125,SIN NOMBRE,OROCLARO,,,,,2,,,1,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1132,MEGAN,HIELO,,,,,,,,1,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1132,SIN NOMBRE,VIBORA SUELA,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1147,LANI,ROSE,,,1,1,,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1201,SIN NOMBRE,ALMENDRA,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIAS,58-1123,SIN NOMBRE,MAIZ,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA PLATAFORMA,48-3453,GOYA,NEGRO,,,,1,2,,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,SANDALIA PLATAFORMA,48-3443,ATEA,NEGRO,,,1,,1,1,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,SANDALIA PLATAFORMA,48-3443,ATEA,PERLA,,,,1,1,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIA PLATAFORMA,48-3462,GRISELA,NEGRO,,,,1,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIA PLATAFORMA,48-3462,GRISELA ,VISON,,,,1,2,,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIA TACO CHINO,48-3110,SIN NOMBRE,CAMEL,,,,2,,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIA TACO CHINO,58-2350,SIN NOMBRE,NEGRO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2447,LINA,NEGRO,,,1,1,2,,,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2450,ARI,LATTE,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2433,SIN NOMBRE,ROJO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2447,LINA,SABLE,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2380,SIN NOMBRE,MARFIL,,,,1,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,58-2386,SIN NOMBRE,ROJO,,,1,,1,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-3425,SIN NOMBRE,CAMEL,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-3429,SIN NOMBRE,MARFIL,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-3426,SIN NOMBRE,ROJO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-2307,CHIA,LATTE,,,,1,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-2306,DOLLY,NUDE,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALIA CORCHO ,48-3442,KEILLI,NUDE,,,,,2,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,SANDALI,58-1267,LINY,PELTRE,,,1,,1,1,1,1,,,,,,5,SI,SI,,,,
MUJER,CAVATINI,SANDALI,58-1679,ANET,LATTE,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,SANDALI,58-1267,LINY,ARENA,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN MUJER ,40-3251,SIN NOMBRE,ROCA,,,,,,1,,,,,,,,1,SI,SI,,,,
